feature,gain_importance,feature_group,abs_pearson
X466,133289.01098632812,anonymous_x,0.04848669057451872
X33,75988.03186035156,anonymous_x,0.015283879321425099
X752,72403.76025390625,anonymous_x,0.09042828637775713
X272,70108.91613769531,anonymous_x,0.04423127315573677
X758,67429.11199951172,anonymous_x,0.025000189604108148
X738,48942.99475097656,anonymous_x,0.007292957022789313
X280,48738.60516357422,anonymous_x,0.03853298505142612
X198,42675.14709472656,anonymous_x,0.046788106484906375
X757,40361.951721191406,anonymous_x,0.05733166152419849
X611,39616.35791015625,anonymous_x,0.07027809246330297
X291,36283.915954589844,anonymous_x,0.06717090589468602
X614,34425.642822265625,anonymous_x,0.08372826235427276
X344,32710.100189208984,anonymous_x,0.030721413938962615
X778,32121.044891357422,anonymous_x,0.012339021695083939
X684,31588.298736572266,anonymous_x,0.03190420158296128
X613,30141.747802734375,anonymous_x,0.03114859754543743
X465,29469.496948242188,anonymous_x,0.04927605331653583
X284,27274.39080810547,anonymous_x,0.048017325214379035
X136,26753.923706054688,anonymous_x,0.04174371991658902
X759,26151.36004638672,anonymous_x,0.07605892331699822
X588,24466.88507080078,anonymous_x,0.004670269776359252
X331,22200.40997314453,anonymous_x,0.0323621482379374
X780,21136.560913085938,anonymous_x,0.020338320043821616
X23,20064.89501953125,anonymous_x,0.04555377385747727
X342,19952.965942382812,anonymous_x,0.012630888672746714
X95,19444.79901123047,anonymous_x,0.04188608955427399
X591,19352.263732910156,anonymous_x,0.002266285733576641
X97,19034.786865234375,anonymous_x,0.018117464617824656
X612,17743.440979003906,anonymous_x,0.05643951771491564
X772,17322.57601928711,anonymous_x,0.005414911071873037
X592,17294.655029296875,anonymous_x,0.04852629502253957
X37,17199.77081298828,anonymous_x,0.02938072742452243
X22,17154.241088867188,anonymous_x,0.05467650341494947
X674,16662.705993652344,anonymous_x,0.007705079799428137
X96,16117.622131347656,anonymous_x,0.004349950452035533
X180,15931.511932373047,anonymous_x,0.02810266048366361
X751,15649.270751953125,anonymous_x,0.0266399873897323
X337,15256.185119628906,anonymous_x,0.033908301955634795
X279,15047.794067382812,anonymous_x,0.021011053083398352
X425,14914.604064941406,anonymous_x,0.02486007254633334
X341,14517.741943359375,anonymous_x,0.020063651708890972
X174,14269.35693359375,anonymous_x,0.025927044070083498
X586,13609.510986328125,anonymous_x,0.048632061499750884
X428,13282.93099975586,anonymous_x,0.0292613187939723
X779,13274.687072753906,anonymous_x,0.013000770140585158
X31,13239.140991210938,anonymous_x,0.04227544239301647
X287,12971.7890625,anonymous_x,0.06477985547964456
X443,12900.687927246094,anonymous_x,0.021036394126577124
X336,12749.757019042969,anonymous_x,0.01728499054323825
X91,12590.808044433594,anonymous_x,0.005067945426608988
X584,12510.965087890625,anonymous_x,0.05487100428893529
X683,12325.711059570312,anonymous_x,0.010739221848274373
X424,12005.537017822266,anonymous_x,0.009732116832224032
X582,11971.743896484375,anonymous_x,0.01618271488291227
X629,11969.073120117188,anonymous_x,0.039483952183310765
X564,11922.48095703125,anonymous_x,0.003856238850865935
X608,11846.851989746094,anonymous_x,0.07006472333182509
X35,11629.582946777344,anonymous_x,0.01968327503054959
X167,11600.210021972656,anonymous_x,0.04441877066638661
X457,11531.685852050781,anonymous_x,0.00527406533528562
X578,11456.282775878906,anonymous_x,0.05071700566848772
X282,11245.791198730469,anonymous_x,0.04209563966610206
X28,10521.518005371094,anonymous_x,0.07213997433928017
X656,10509.530944824219,anonymous_x,0.05110909531904909
X607,10433.856018066406,anonymous_x,0.023677069856995525
X730,10286.56201171875,anonymous_x,0.02191313828749516
X295,9687.239990234375,anonymous_x,0.0670041552527315
X290,9596.356079101562,anonymous_x,0.05891021127483122
X675,9593.340148925781,anonymous_x,0.008252045968898586
X98,9422.387939453125,anonymous_x,0.013512567047662826
X558,9174.710083007812,anonymous_x,0.008537807336289276
X270,9139.480834960938,anonymous_x,0.026710300415976662
X380,9123.731079101562,anonymous_x,0.016035445725323574
X285,8986.412109375,anonymous_x,0.054245130189340476
X777,8958.448150634766,anonymous_x,0.015263771155974642
X679,8810.713989257812,anonymous_x,0.0035687588561026024
X332,8809.01708984375,anonymous_x,0.021818407093622302
X132,8798.894958496094,anonymous_x,0.038126902761506924
X373,8697.238952636719,anonymous_x,0.06095873215937678
X385,8376.992004394531,anonymous_x,0.06084700955870607
X769,8372.473999023438,anonymous_x,0.005847023929380214
X610,8037.716857910156,anonymous_x,0.03221377369317932
X338,7984.723114013672,anonymous_x,0.026872973379200648
X422,7969.121032714844,anonymous_x,0.028117685278794293
X289,7913.470031738281,anonymous_x,0.06593637043359542
X427,7801.698059082031,anonymous_x,0.012086687170949186
X386,7767.5169677734375,anonymous_x,0.006894536737861676
X379,7722.2559814453125,anonymous_x,0.06237086256795324
X445,7686.049865722656,anonymous_x,0.03197248197863053
X604,7617.489074707031,anonymous_x,0.011981911437322357
X278,7610.58984375,anonymous_x,0.023175934281888654
X776,7574.4189453125,anonymous_x,0.017616690878942767
X732,7565.8060302734375,anonymous_x,0.012998697713414822
X17,7507.109191894531,anonymous_x,0.03047577148280471
X21,7402.47705078125,anonymous_x,0.06737474933113866
X585,7400.352966308594,anonymous_x,0.009308502319996855
X553,7322.201904296875,anonymous_x,0.011452671879899344
X739,7301.482116699219,anonymous_x,0.016672160196119154
X756,7269.3389892578125,anonymous_x,0.05615301401611415
X464,6944.7020263671875,anonymous_x,0.04048284077663359
X500,6739.810028076172,anonymous_x,0.008405218033783274
X773,6695.0511474609375,anonymous_x,0.00025322314786542857
X384,6680.18798828125,anonymous_x,0.031138353593536148
X179,6599.9560546875,anonymous_x,0.04782551959801711
X761,6526.373840332031,anonymous_x,0.05562813098430559
X450,6438.735046386719,anonymous_x,0.014850693923461035
X650,6426.8690185546875,anonymous_x,0.022618797618099998
X589,6408.4759521484375,anonymous_x,0.02217017380162104
X40,6396.051940917969,anonymous_x,0.04301649988565012
X292,6392.111083984375,anonymous_x,0.06106399401540966
X218,6373.1849365234375,anonymous_x,0.06106106851801936
X173,6100.834045410156,anonymous_x,0.04656643104999975
X269,6086.796813964844,anonymous_x,0.028691862162555034
X138,5924.351989746094,anonymous_x,0.045026672024868375
X740,5922.240966796875,anonymous_x,0.02464764246842252
X420,5919.924011230469,anonymous_x,0.01599691971227832
X343,5878.327087402344,anonymous_x,0.03256909271426534
X768,5807.535949707031,anonymous_x,0.008640774643276459
X383,5737.2080078125,anonymous_x,0.02050478107358211
X572,5734.70703125,anonymous_x,0.05150722454221937
X421,5726.4459228515625,anonymous_x,0.007821531841702882
X333,5695.595947265625,anonymous_x,0.014557472893252882
X580,5695.301086425781,anonymous_x,0.031779867828046884
X508,5553.694030761719,anonymous_x,0.042523933519404554
X426,5552.7459716796875,anonymous_x,0.02405279194745148
X89,5537.554016113281,anonymous_x,0.041363759229578
X181,5528.5589599609375,anonymous_x,0.05025757993472288
X647,5518.4990234375,anonymous_x,0.014532725790341428
X42,5499.925048828125,anonymous_x,0.0461826152659111
X296,5487.8509521484375,anonymous_x,0.06159814491291643
X178,5458.957946777344,anonymous_x,0.01844356041267537
X413,5395.822021484375,anonymous_x,0.009258590410643008
X419,5368.381042480469,anonymous_x,0.017509400084003632
X85,5292.6099853515625,anonymous_x,0.010984817552970774
X139,5181.73193359375,anonymous_x,0.0292725239156249
X88,5164.009033203125,anonymous_x,0.04999262837911145
X39,5139.84912109375,anonymous_x,0.042838539018360836
X775,4913.424011230469,anonymous_x,0.018908385230330272
X24,4817.4639892578125,anonymous_x,0.037985261359970254
X762,4817.152038574219,anonymous_x,0.03852299332262404
X286,4779.452087402344,anonymous_x,0.05613349590609097
X219,4765.645080566406,anonymous_x,0.058142129898771606
X562,4747.6480712890625,anonymous_x,0.014199254014931528
X283,4731.6138916015625,anonymous_x,0.04868332626601322
X298,4576.666076660156,anonymous_x,0.062120750255576444
X32,4538.2769775390625,anonymous_x,0.03758551680842521
X570,4515.3349609375,anonymous_x,0.0026897508657412346
X571,4513.080078125,anonymous_x,0.01349940582476081
X605,4468.971008300781,anonymous_x,0.0668836860985887
X300,4425.68701171875,anonymous_x,0.0617040670129732
X126,4368.269958496094,anonymous_x,0.030439753291870344
X731,4367.5999755859375,anonymous_x,0.029737362906434393
X166,4266.770080566406,anonymous_x,0.01789439185323772
X130,4262.39697265625,anonymous_x,0.03653380823470281
X652,4232.347961425781,anonymous_x,0.05747003187843087
X643,4213.8399658203125,anonymous_x,0.006820550870115132
X281,4211.744079589844,anonymous_x,0.04529989785579475
X712,4191.476989746094,anonymous_x,0.026249181705187682
X177,4147.4549560546875,anonymous_x,0.02167399985688925
X325,4128.515075683594,anonymous_x,0.020466334591785307
X550,4115.315002441406,anonymous_x,0.0034247849023430355
X680,4103.751037597656,anonymous_x,0.029616196011183843
X583,4055.3469848632812,anonymous_x,0.025323951512796747
X329,3926.9349365234375,anonymous_x,0.016701054597557816
X576,3921.1749877929688,anonymous_x,0.014349428384646475
X556,3902.06005859375,anonymous_x,0.00803498643710029
X750,3778.9049682617188,anonymous_x,0.009399443787277376
X387,3749.9620971679688,anonymous_x,0.01737761444092212
X345,3732.9610595703125,anonymous_x,0.01737761444092212
X271,3726.781982421875,anonymous_x,0.026375115375143712
X374,3718.1959838867188,anonymous_x,0.02169324795916523
X736,3697.2230224609375,anonymous_x,0.019768914636573178
X555,3663.0509643554688,anonymous_x,0.0014400897488189251
X415,3658.6959838867188,anonymous_x,0.008935475339759807
X507,3639.7529907226562,anonymous_x,0.040175530841631404
X297,3619.6500244140625,anonymous_x,0.0661548523802913
