feature,gain_importance,feature_group
X466,133289.01098632812,anonymous_x
X33,75988.03186035156,anonymous_x
X752,72403.76025390625,anonymous_x
X272,70108.91613769531,anonymous_x
X758,67429.11199951172,anonymous_x
X738,48942.99475097656,anonymous_x
X280,48738.60516357422,anonymous_x
X198,42675.14709472656,anonymous_x
X757,40361.951721191406,anonymous_x
X611,39616.35791015625,anonymous_x
X291,36283.915954589844,anonymous_x
X614,34425.642822265625,anonymous_x
X344,32710.100189208984,anonymous_x
X778,32121.044891357422,anonymous_x
X684,31588.298736572266,anonymous_x
X613,30141.747802734375,anonymous_x
X465,29469.496948242188,anonymous_x
X284,27274.39080810547,anonymous_x
X136,26753.923706054688,anonymous_x
X759,26151.36004638672,anonymous_x
X588,24466.88507080078,anonymous_x
X331,22200.40997314453,anonymous_x
X780,21136.560913085938,anonymous_x
X23,20064.89501953125,anonymous_x
X342,19952.965942382812,anonymous_x
X95,19444.79901123047,anonymous_x
X591,19352.263732910156,anonymous_x
X97,19034.786865234375,anonymous_x
X612,17743.440979003906,anonymous_x
X772,17322.57601928711,anonymous_x
X592,17294.655029296875,anonymous_x
X37,17199.77081298828,anonymous_x
X22,17154.241088867188,anonymous_x
X674,16662.705993652344,anonymous_x
X96,16117.622131347656,anonymous_x
X180,15931.511932373047,anonymous_x
X751,15649.270751953125,anonymous_x
X337,15256.185119628906,anonymous_x
X279,15047.794067382812,anonymous_x
X425,14914.604064941406,anonymous_x
X341,14517.741943359375,anonymous_x
X174,14269.35693359375,anonymous_x
X586,13609.510986328125,anonymous_x
X428,13282.93099975586,anonymous_x
X779,13274.687072753906,anonymous_x
X31,13239.140991210938,anonymous_x
X287,12971.7890625,anonymous_x
X443,12900.687927246094,anonymous_x
X336,12749.757019042969,anonymous_x
X91,12590.808044433594,anonymous_x
X584,12510.965087890625,anonymous_x
X683,12325.711059570312,anonymous_x
X424,12005.537017822266,anonymous_x
X582,11971.743896484375,anonymous_x
X629,11969.073120117188,anonymous_x
X564,11922.48095703125,anonymous_x
X608,11846.851989746094,anonymous_x
X35,11629.582946777344,anonymous_x
X167,11600.210021972656,anonymous_x
X457,11531.685852050781,anonymous_x
X578,11456.282775878906,anonymous_x
X282,11245.791198730469,anonymous_x
X28,10521.518005371094,anonymous_x
X656,10509.530944824219,anonymous_x
X607,10433.856018066406,anonymous_x
X730,10286.56201171875,anonymous_x
X295,9687.239990234375,anonymous_x
X290,9596.356079101562,anonymous_x
X675,9593.340148925781,anonymous_x
X98,9422.387939453125,anonymous_x
X558,9174.710083007812,anonymous_x
X270,9139.480834960938,anonymous_x
X380,9123.731079101562,anonymous_x
X285,8986.412109375,anonymous_x
X777,8958.448150634766,anonymous_x
X679,8810.713989257812,anonymous_x
X332,8809.01708984375,anonymous_x
X132,8798.894958496094,anonymous_x
X373,8697.238952636719,anonymous_x
X385,8376.992004394531,anonymous_x
X769,8372.473999023438,anonymous_x
X610,8037.716857910156,anonymous_x
X338,7984.723114013672,anonymous_x
X422,7969.121032714844,anonymous_x
X289,7913.470031738281,anonymous_x
X427,7801.698059082031,anonymous_x
X386,7767.5169677734375,anonymous_x
X379,7722.2559814453125,anonymous_x
X445,7686.049865722656,anonymous_x
X604,7617.489074707031,anonymous_x
X278,7610.58984375,anonymous_x
X776,7574.4189453125,anonymous_x
X732,7565.8060302734375,anonymous_x
X17,7507.109191894531,anonymous_x
X21,7402.47705078125,anonymous_x
X585,7400.352966308594,anonymous_x
X553,7322.201904296875,anonymous_x
X739,7301.482116699219,anonymous_x
X756,7269.3389892578125,anonymous_x
X464,6944.7020263671875,anonymous_x
X500,6739.810028076172,anonymous_x
