experiment,feature_group,model,sample_rows,n_splits,gap_rows,fold,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,feature_count,generated_at,alpha,solver,pearson,rmse,mae,best_iteration,learning_rate,num_leaves,min_data_in_leaf,lambda_l2
full_cv,full,ridge,525886,5,0,1,0,87646,87647,175294,87647,87648,792,2026-07-03T15:09:34,1.0,lsqr,0.14116230850328124,3.6605558369505777,2.6370783260403305,,,,,
full_cv,full,ridge,525886,5,0,2,0,175294,175295,262942,175295,87648,792,2026-07-03T15:09:34,1.0,lsqr,0.054734595290687485,1.8304060023508173,1.3770735497839126,,,,,
full_cv,full,ridge,525886,5,0,3,0,262942,262943,350589,262943,87647,792,2026-07-03T15:09:34,1.0,lsqr,-0.011232624919350629,311.15096558627806,5.383779444430205,,,,,
full_cv,full,ridge,525886,5,0,4,0,350589,350590,438237,350590,87648,792,2026-07-03T15:09:34,1.0,lsqr,0.06689302182707554,1.1222356919245482,0.8272551639633493,,,,,
full_cv,full,ridge,525886,5,0,5,0,438237,438238,525885,438238,87648,792,2026-07-03T15:09:34,1.0,lsqr,0.06337379352555322,1.2895575694611572,0.9102649934837237,,,,,
full_cv,full,lightgbm,525886,5,0,1,0,87646,87647,175294,87647,87648,792,2026-07-03T15:09:34,,,0.059635011622596525,1.0846821585498696,0.7197296634362935,1027.0,0.01,31.0,200.0,10.0
full_cv,full,lightgbm,525886,5,0,2,0,175294,175295,262942,175295,87648,792,2026-07-03T15:09:34,,,0.08881087164332878,1.0025564832510958,0.5785918682944033,12.0,0.01,31.0,200.0,10.0
full_cv,full,lightgbm,525886,5,0,3,0,262942,262943,350589,262943,87647,792,2026-07-03T15:09:34,,,0.061605317820790075,1.0092459954429678,0.6143184935599786,1.0,0.01,31.0,200.0,10.0
full_cv,full,lightgbm,525886,5,0,4,0,350589,350590,438237,350590,87648,792,2026-07-03T15:09:34,,,0.15025613619261868,1.0039115698638075,0.7164166334056182,985.0,0.01,31.0,200.0,10.0
full_cv,full,lightgbm,525886,5,0,5,0,438237,438238,525885,438238,87648,792,2026-07-03T15:09:34,,,0.04471045380871153,1.0629618243302699,0.7031302910755016,13.0,0.01,31.0,200.0,10.0
