model,model_label,group,definition,sample_count,sample_ratio,pearson,rmse,mae,squared_error_sum,absolute_error_sum,squared_error_contribution,absolute_error_contribution
ridge,Ridge,整体,all validation samples,105177,1.0,0.09190551668094783,1.2275199828689816,0.8685829944204981,158481.26191555645,91354.95360416474,1.0,1.0
ridge,Ridge,普通波动,abs(label) <= 1.04688866138,84141,0.7999942953307282,0.03909116597494084,0.8438222930855173,0.6359849815344208,59911.42631866589,53512.412331287705,0.37803476319231033,0.5857636638200663
ridge,Ridge,中等波动,1.04688866138 < abs(label) <= 2.08640890121,15777,0.15000427850195386,0.0778179833790214,1.6285473736470641,1.4126958144866288,41843.231631152565,22288.101865155542,0.2640263658012005,0.24397255962417194
ridge,Ridge,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.31082117965387324,3.284292336051657,2.9576800547103033,56726.603965737995,15554.439407721484,0.35793887100648925,0.17026377655576172
lightgbm,LightGBM,整体,all validation samples,105177,1.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,113572.14793925034,73464.29035401854,1.0,1.0
lightgbm,LightGBM,普通波动,abs(label) <= 1.04688866138,84141,0.7999942953307282,0.0611873231827896,0.5048065476338777,0.4137163060587214,21441.621625584186,34810.50370808688,0.18879295685288347,0.4738425096102861
lightgbm,LightGBM,中等波动,1.04688866138 < abs(label) <= 2.08640890121,15777,0.15000427850195386,0.1403001326643081,1.4347467628561914,1.4003139983535717,32476.92726142476,22092.7539520243,0.28595855454628405,0.30072779367446534
lightgbm,LightGBM,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.26953557680155,3.3679585663128844,3.149083988193071,59653.59905224139,16561.03269390736,0.5252484886008325,0.22542969671524857
weighted_lightgbm,Weighted LightGBM,整体,all validation samples,105177,1.0,0.07239295932068679,1.079566257197704,0.7414899560096104,122579.93389113658,77987.6891032228,1.0,1.0
weighted_lightgbm,Weighted LightGBM,普通波动,abs(label) <= 1.04688866138,84141,0.7999942953307282,0.038573758309845926,0.5861516158170985,0.46992887088922386,28908.63609895784,39540.28512549018,0.23583497870566353,0.5070067542731715
weighted_lightgbm,Weighted LightGBM,中等波动,1.04688866138 < abs(label) <= 2.08640890121,15777,0.15000427850195386,0.07520026369895733,1.477093250511068,1.3958171424039325,34422.32913431835,22021.807055706842,0.2808153670966153,0.28237542756984707
weighted_lightgbm,Weighted LightGBM,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.23254096647137612,3.3565166983685857,3.123330846553676,59248.96865786039,16425.596922025783,0.4833496541977212,0.21061781815698144
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,整体,all validation samples,105177,1.0,0.06823632005222062,1.0567883811222378,0.7201587677870591,117461.85055766889,75744.13871953952,1.0,1.0
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,普通波动,abs(label) <= 1.04688866138,84141,0.7999942953307282,0.021244077353183323,0.5447638315985128,0.4422064244509601,24970.325342445718,37207.69075972823,0.21258242760432525,0.4912286467141498
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,中等波动,1.04688866138 < abs(label) <= 2.08640890121,15777,0.15000427850195386,0.08245216179378853,1.452594778822239,1.3990264662509715,33289.968418490134,22072.440558041577,0.2834108969034686,0.29140790206579514
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.23490784804377832,3.3551734635732475,3.1306346076763094,59201.55679673303,16464.00740176971,0.504006675492206,0.21736345122005504
