cluster_id,feature,medoid,cluster_size,is_medoid
1,X1,X6,16,False
1,X10,X6,16,False
1,X11,X6,16,False
1,X12,X6,16,False
1,X13,X6,16,False
1,X14,X6,16,False
1,X15,X6,16,False
1,X16,X6,16,False
1,X2,X6,16,False
1,X3,X6,16,False
1,X4,X6,16,False
1,X5,X6,16,False
1,X6,X6,16,True
1,X7,X6,16,False
1,X8,X6,16,False
1,X9,X6,16,False
2,X100,X118,21,False
2,X106,X118,21,False
2,X112,X118,21,False
2,X118,X118,21,True
2,X124,X118,21,False
2,X130,X118,21,False
2,X136,X118,21,False
2,X142,X118,21,False
2,X148,X118,21,False
2,X154,X118,21,False
2,X160,X118,21,False
2,X166,X118,21,False
2,X172,X118,21,False
2,X178,X118,21,False
2,X58,X118,21,False
2,X64,X118,21,False
2,X70,X118,21,False
2,X76,X118,21,False
2,X82,X118,21,False
2,X88,X118,21,False
2,X94,X118,21,False
3,X101,X624,330,False
3,X103,X624,330,False
3,X104,X624,330,False
3,X107,X624,330,False
3,X109,X624,330,False
3,X110,X624,330,False
3,X113,X624,330,False
3,X115,X624,330,False
3,X116,X624,330,False
3,X119,X624,330,False
3,X121,X624,330,False
3,X122,X624,330,False
3,X125,X624,330,False
3,X127,X624,330,False
3,X128,X624,330,False
3,X131,X624,330,False
3,X133,X624,330,False
3,X134,X624,330,False
3,X137,X624,330,False
3,X139,X624,330,False
3,X140,X624,330,False
3,X143,X624,330,False
3,X145,X624,330,False
3,X146,X624,330,False
3,X149,X624,330,False
3,X151,X624,330,False
3,X152,X624,330,False
3,X155,X624,330,False
3,X157,X624,330,False
3,X158,X624,330,False
3,X161,X624,330,False
3,X163,X624,330,False
3,X164,X624,330,False
3,X167,X624,330,False
3,X169,X624,330,False
3,X170,X624,330,False
3,X173,X624,330,False
3,X175,X624,330,False
3,X176,X624,330,False
3,X179,X624,330,False
3,X181,X624,330,False
3,X182,X624,330,False
3,X192,X624,330,False
3,X193,X624,330,False
3,X194,X624,330,False
3,X195,X624,330,False
3,X196,X624,330,False
3,X197,X624,330,False
3,X198,X624,330,False
3,X199,X624,330,False
3,X200,X624,330,False
3,X201,X624,330,False
3,X202,X624,330,False
3,X203,X624,330,False
3,X204,X624,330,False
3,X205,X624,330,False
3,X206,X624,330,False
3,X207,X624,330,False
3,X208,X624,330,False
3,X209,X624,330,False
3,X210,X624,330,False
3,X211,X624,330,False
3,X212,X624,330,False
3,X213,X624,330,False
3,X214,X624,330,False
3,X215,X624,330,False
3,X216,X624,330,False
3,X217,X624,330,False
3,X218,X624,330,False
3,X219,X624,330,False
3,X220,X624,330,False
3,X221,X624,330,False
3,X222,X624,330,False
3,X223,X624,330,False
3,X224,X624,330,False
3,X225,X624,330,False
3,X226,X624,330,False
3,X227,X624,330,False
3,X228,X624,330,False
3,X229,X624,330,False
3,X230,X624,330,False
3,X231,X624,330,False
3,X232,X624,330,False
3,X233,X624,330,False
3,X234,X624,330,False
3,X235,X624,330,False
3,X236,X624,330,False
3,X237,X624,330,False
3,X238,X624,330,False
3,X239,X624,330,False
3,X240,X624,330,False
3,X241,X624,330,False
3,X242,X624,330,False
3,X243,X624,330,False
3,X244,X624,330,False
3,X245,X624,330,False
3,X246,X624,330,False
3,X247,X624,330,False
3,X306,X624,330,False
3,X308,X624,330,False
3,X309,X624,330,False
3,X312,X624,330,False
3,X314,X624,330,False
3,X315,X624,330,False
3,X318,X624,330,False
3,X320,X624,330,False
3,X321,X624,330,False
3,X324,X624,330,False
3,X326,X624,330,False
3,X327,X624,330,False
3,X330,X624,330,False
3,X332,X624,330,False
3,X333,X624,330,False
3,X336,X624,330,False
3,X338,X624,330,False
3,X339,X624,330,False
3,X342,X624,330,False
3,X344,X624,330,False
3,X345,X624,330,False
3,X348,X624,330,False
3,X350,X624,330,False
3,X351,X624,330,False
3,X354,X624,330,False
3,X356,X624,330,False
3,X357,X624,330,False
3,X360,X624,330,False
3,X362,X624,330,False
3,X363,X624,330,False
3,X366,X624,330,False
3,X368,X624,330,False
3,X369,X624,330,False
3,X372,X624,330,False
3,X374,X624,330,False
3,X375,X624,330,False
3,X378,X624,330,False
3,X380,X624,330,False
3,X381,X624,330,False
3,X384,X624,330,False
3,X386,X624,330,False
3,X387,X624,330,False
3,X390,X624,330,False
3,X392,X624,330,False
3,X393,X624,330,False
3,X396,X624,330,False
3,X398,X624,330,False
3,X399,X624,330,False
3,X402,X624,330,False
3,X404,X624,330,False
3,X405,X624,330,False
3,X408,X624,330,False
3,X410,X624,330,False
3,X411,X624,330,False
3,X414,X624,330,False
3,X416,X624,330,False
3,X417,X624,330,False
3,X420,X624,330,False
3,X422,X624,330,False
3,X423,X624,330,False
3,X426,X624,330,False
3,X428,X624,330,False
3,X429,X624,330,False
3,X439,X624,330,False
3,X440,X624,330,False
3,X441,X624,330,False
3,X442,X624,330,False
3,X443,X624,330,False
3,X444,X624,330,False
3,X445,X624,330,False
3,X446,X624,330,False
3,X447,X624,330,False
3,X448,X624,330,False
3,X449,X624,330,False
3,X450,X624,330,False
3,X451,X624,330,False
3,X452,X624,330,False
3,X453,X624,330,False
3,X454,X624,330,False
3,X455,X624,330,False
3,X456,X624,330,False
3,X457,X624,330,False
3,X458,X624,330,False
3,X459,X624,330,False
3,X460,X624,330,False
3,X461,X624,330,False
3,X462,X624,330,False
3,X463,X624,330,False
3,X464,X624,330,False
3,X465,X624,330,False
3,X466,X624,330,False
3,X467,X624,330,False
3,X468,X624,330,False
3,X469,X624,330,False
3,X470,X624,330,False
3,X471,X624,330,False
3,X472,X624,330,False
3,X473,X624,330,False
3,X474,X624,330,False
3,X475,X624,330,False
3,X476,X624,330,False
3,X477,X624,330,False
3,X478,X624,330,False
3,X479,X624,330,False
3,X480,X624,330,False
3,X481,X624,330,False
3,X482,X624,330,False
3,X483,X624,330,False
3,X484,X624,330,False
3,X485,X624,330,False
3,X486,X624,330,False
3,X487,X624,330,False
3,X488,X624,330,False
3,X489,X624,330,False
3,X490,X624,330,False
3,X491,X624,330,False
3,X492,X624,330,False
3,X493,X624,330,False
3,X494,X624,330,False
3,X59,X624,330,False
3,X61,X624,330,False
3,X615,X624,330,False
3,X616,X624,330,False
3,X617,X624,330,False
3,X618,X624,330,False
3,X619,X624,330,False
3,X62,X624,330,False
3,X620,X624,330,False
3,X621,X624,330,False
3,X622,X624,330,False
3,X623,X624,330,False
3,X624,X624,330,True
3,X625,X624,330,False
3,X626,X624,330,False
3,X627,X624,330,False
3,X628,X624,330,False
3,X629,X624,330,False
3,X630,X624,330,False
3,X631,X624,330,False
3,X632,X624,330,False
3,X634,X624,330,False
3,X635,X624,330,False
3,X636,X624,330,False
3,X638,X624,330,False
3,X639,X624,330,False
3,X640,X624,330,False
3,X642,X624,330,False
3,X643,X624,330,False
3,X644,X624,330,False
3,X646,X624,330,False
3,X647,X624,330,False
3,X648,X624,330,False
3,X65,X624,330,False
