experiment,feature_group,model,sample_rows,n_splits,gap_rows,fold,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,feature_count,generated_at,alpha,solver,pearson,rmse,mae
feature_group_ablation,public_market,ridge,525886,5,0,1,0,87646,87647,175294,87647,87648,5,2026-07-03T15:21:13,1.0,lsqr,0.026909788430631767,0.9789803569514182,0.6249392248347726
feature_group_ablation,public_market,ridge,525886,5,0,2,0,175294,175295,262942,175295,87648,5,2026-07-03T15:21:13,1.0,lsqr,0.027604601839008893,1.0045495162020666,0.5778577698775076
feature_group_ablation,public_market,ridge,525886,5,0,3,0,262942,262943,350589,262943,87647,5,2026-07-03T15:21:13,1.0,lsqr,-0.043428089996881504,1.0114721922673262,0.6152364876144779
feature_group_ablation,public_market,ridge,525886,5,0,4,0,350589,350590,438237,350590,87648,5,2026-07-03T15:21:13,1.0,lsqr,0.016572180037530575,0.9758150049997466,0.6819625076880409
feature_group_ablation,public_market,ridge,525886,5,0,5,0,438237,438238,525885,438238,87648,5,2026-07-03T15:21:13,1.0,lsqr,-0.006393472737303374,1.0632521275874338,0.703118830838334
feature_group_ablation,derived_market,ridge,525886,5,0,1,0,87646,87647,175294,87647,87648,7,2026-07-03T15:21:13,1.0,lsqr,0.030217592746297765,0.9788689344669055,0.6252078305269538
feature_group_ablation,derived_market,ridge,525886,5,0,2,0,175294,175295,262942,175295,87648,7,2026-07-03T15:21:13,1.0,lsqr,0.008219644166742304,1.0052200359310537,0.5783681552317349
feature_group_ablation,derived_market,ridge,525886,5,0,3,0,262942,262943,350589,262943,87647,7,2026-07-03T15:21:13,1.0,lsqr,-0.011337283112277729,114.6529858696511,2.302632975681171
feature_group_ablation,derived_market,ridge,525886,5,0,4,0,350589,350590,438237,350590,87648,7,2026-07-03T15:21:13,1.0,lsqr,0.016373962256261313,0.9757940406938591,0.6819655179003735
feature_group_ablation,derived_market,ridge,525886,5,0,5,0,438237,438238,525885,438238,87648,7,2026-07-03T15:21:13,1.0,lsqr,0.0005015366822249278,1.0632171694241936,0.7030969674770918
feature_group_ablation,public_plus_derived,ridge,525886,5,0,1,0,87646,87647,175294,87647,87648,12,2026-07-03T15:21:13,1.0,lsqr,0.029987515107054528,0.9788858475959724,0.6252998508060048
feature_group_ablation,public_plus_derived,ridge,525886,5,0,2,0,175294,175295,262942,175295,87648,12,2026-07-03T15:21:13,1.0,lsqr,0.00828695614448299,1.0052348285534145,0.5784624469486929
feature_group_ablation,public_plus_derived,ridge,525886,5,0,3,0,262942,262943,350589,262943,87647,12,2026-07-03T15:21:13,1.0,lsqr,-0.0113370819365608,119.48713014636806,2.373909115228688
