,target_corr
X752,0.09056130207858051
X759,0.06405742787838559
X756,0.05625887076315048
X614,0.05452774906912943
X751,0.05353178299833782
X286,0.048661392703992785
X757,0.045514868770174514
X758,0.04082790018315174
X744,0.03823076532039943
X750,0.037743529359590855
X367,0.03770371528802054
X186,0.037338149008311255
X325,0.034227889459398274
X276,0.03297370237438571
X39,0.02777231781203042
X727,0.027299859266947887
X766,0.02722503568923275
X709,-0.025793921989183663
X653,-0.02367213849664782
X498,0.019579529973892354
X505,0.01793100625088983
X725,0.01737638343302365
X624,0.01731115155385936
X770,-0.016624927795191147
X162,0.015826954550857655
X545,0.015595909941691835
X546,0.014846274542446818
X669,0.014719033298863014
X549,0.013887169787729668
X602,0.012631107294446473
X531,0.012082276871714663
X737,0.01200678866003291
X661,0.011613089362810906
X771,-0.01050537915717499
X322,0.00995585876958564
X745,0.009749351894186423
X604,-0.009352695909168497
X717,0.009123554803542303
X365,-0.008200472567147234
X118,0.008184922297242549
X253,-0.006788892035659413
X633,0.006398271847859343
X519,0.0059604412368144235
X409,0.005875438959201886
X641,0.005249144663841659
X516,0.0046141446848705385
X603,0.004352293669749675
X120,0.002694623198875231
X529,-0.0022058940521268422
X772,-0.0018834063032989758
X697,-0.001810647150982543
X689,0.0017506044815912807
X6,-0.0015480568382720535
X681,0.0010982527014619914
X778,0.0007601718409546184
X568,-0.00016532707429965852
