feature,coefficient,abs_coefficient,is_nonzero
X17,0.87287587,0.87287587,True
X84,0.7683349,0.7683349,True
X776,0.699558,0.699558,True
X778,-0.62981826,0.62981826,True
X72,-0.6168851,0.6168851,True
X662,-0.5311544,0.5311544,True
X557,0.5272944,0.5272944,True
X367,0.51027226,0.51027226,True
X666,0.5059244,0.5059244,True
X646,0.49403343,0.49403343,True
X461,-0.4751568,0.4751568,True
X138,0.4366792,0.4366792,True
X396,0.42935368,0.42935368,True
X79,0.41923496,0.41923496,True
X266,-0.41708043,0.41708043,True
X499,0.41070148,0.41070148,True
X573,-0.40284017,0.40284017,True
X365,0.39682594,0.39682594,True
X372,-0.39005175,0.39005175,True
X156,0.38959295,0.38959295,True
X359,-0.38462687,0.38462687,True
X97,-0.36587492,0.36587492,True
X606,0.36398122,0.36398122,True
X312,-0.36392447,0.36392447,True
X91,-0.36286312,0.36286312,True
X455,0.36182475,0.36182475,True
X199,-0.35963276,0.35963276,True
X150,-0.3586224,0.3586224,True
X3,-0.35708943,0.35708943,True
X11,0.35655943,0.35655943,True
X114,-0.350945,0.350945,True
X132,0.35041013,0.35041013,True
X264,0.34570336,0.34570336,True
X504,-0.344881,0.344881,True
X503,0.3436593,0.3436593,True
X726,-0.34132183,0.34132183,True
X320,0.33613434,0.33613434,True
X21,-0.33298954,0.33298954,True
X742,0.3327527,0.3327527,True
X222,-0.3262827,0.3262827,True
X217,-0.32497868,0.32497868,True
X448,0.3248981,0.3248981,True
X780,0.3226541,0.3226541,True
X764,-0.3209664,0.3209664,True
X221,0.31940663,0.31940663,True
X571,0.3185617,0.3185617,True
X206,0.31598693,0.31598693,True
X230,0.3143283,0.3143283,True
X601,-0.31195506,0.31195506,True
X322,0.30796355,0.30796355,True
X195,0.30635926,0.30635926,True
X332,-0.30618045,0.30618045,True
X321,-0.30614537,0.30614537,True
X362,0.30431893,0.30431893,True
X441,0.30418387,0.30418387,True
X207,-0.30249783,0.30249783,True
X323,0.30175886,0.30175886,True
X4,0.29929134,0.29929134,True
X90,0.29907423,0.29907423,True
X76,0.2976373,0.2976373,True
X13,-0.29761982,0.29761982,True
X250,-0.2970458,0.2970458,True
X137,0.29582247,0.29582247,True
X215,-0.29339176,0.29339176,True
X124,-0.28924164,0.28924164,True
X567,0.284063,0.284063,True
X324,0.28370064,0.28370064,True
X351,0.28302613,0.28302613,True
X485,0.28064367,0.28064367,True
X274,0.2801639,0.2801639,True
X446,-0.2785015,0.2785015,True
X537,0.27476954,0.27476954,True
X275,-0.27088165,0.27088165,True
X497,-0.26887932,0.26887932,True
X605,0.26860705,0.26860705,True
X25,0.26318967,0.26318967,True
X209,0.26114702,0.26114702,True
X402,-0.26079538,0.26079538,True
X131,0.26015988,0.26015988,True
X119,-0.25634855,0.25634855,True
X196,0.25582236,0.25582236,True
X88,-0.2552189,0.2552189,True
X585,-0.25302693,0.25302693,True
X439,0.25247186,0.25247186,True
X360,0.24965969,0.24965969,True
X767,0.24727921,0.24727921,True
X326,-0.24635656,0.24635656,True
X328,-0.24560212,0.24560212,True
X405,-0.245217,0.245217,True
X356,-0.24088316,0.24088316,True
X110,0.23993866,0.23993866,True
X614,0.23829165,0.23829165,True
X648,-0.23663698,0.23663698,True
X37,0.23381175,0.23381175,True
X599,-0.23335093,0.23335093,True
X565,-0.23223063,0.23223063,True
X363,-0.23136061,0.23136061,True
X558,-0.22999,0.22999,True
X521,0.22982548,0.22982548,True
X108,0.22654627,0.22654627,True
X14,-0.22630246,0.22630246,True
X401,-0.2256135,0.2256135,True
X116,-0.22373788,0.22373788,True
X65,-0.2236387,0.2236387,True
X395,0.22214009,0.22214009,True
X287,0.22172533,0.22172533,True
X94,-0.22087157,0.22087157,True
X468,-0.2206991,0.2206991,True
X358,0.21842258,0.21842258,True
X161,-0.21670248,0.21670248,True
X216,-0.21562372,0.21562372,True
X126,0.21255063,0.21255063,True
X64,-0.21102013,0.21102013,True
X374,-0.21044897,0.21044897,True
X546,0.20903875,0.20903875,True
X408,-0.2083377,0.2083377,True
X309,-0.20831619,0.20831619,True
X370,-0.20764269,0.20764269,True
X30,-0.20726864,0.20726864,True
X237,-0.20672467,0.20672467,True
X149,0.20545436,0.20545436,True
X96,0.20533237,0.20533237,True
X22,-0.2051839,0.2051839,True
X385,-0.20485921,0.20485921,True
X561,-0.2046715,0.2046715,True
X703,-0.2044235,0.2044235,True
X379,-0.20236918,0.20236918,True
X447,-0.20165123,0.20165123,True
X626,-0.20009977,0.20009977,True
X344,0.19999386,0.19999386,True
X87,0.1998372,0.1998372,True
X155,-0.19806585,0.19806585,True
X208,-0.19680102,0.19680102,True
X317,-0.19674377,0.19674377,True
X229,-0.19524238,0.19524238,True
X422,-0.19451906,0.19451906,True
X501,-0.19447857,0.19447857,True
X371,0.19385195,0.19385195,True
X758,-0.19332562,0.19332562,True
X699,-0.19309811,0.19309811,True
X318,0.19306874,0.19306874,True
X310,-0.19013564,0.19013564,True
X545,-0.18981104,0.18981104,True
X570,-0.18916868,0.18916868,True
X193,0.18860584,0.18860584,True
X202,0.1885308,0.1885308,True
X43,0.18539451,0.18539451,True
X236,0.18291637,0.18291637,True
X415,0.18267196,0.18267196,True
X768,0.18213862,0.18213862,True
X628,-0.1819246,0.1819246,True
X706,0.17935747,0.17935747,True
X78,0.17930417,0.17930417,True
X676,-0.17815034,0.17815034,True
X106,0.17814346,0.17814346,True
X650,0.17756571,0.17756571,True
X201,-0.17720059,0.17720059,True
X579,0.17624897,0.17624897,True
X69,-0.17544478,0.17544478,True
X242,-0.17527981,0.17527981,True
X775,-0.17457494,0.17457494,True
X652,-0.17330967,0.17330967,True
X200,-0.17259459,0.17259459,True
X375,0.1719063,0.1719063,True
X20,-0.17149925,0.17149925,True
X165,0.17001323,0.17001323,True
X113,0.16822402,0.16822402,True
