window,window_rows,preset,num_leaves,min_data_in_leaf,lambda_l1,lambda_l2,feature_fraction,pearson_mean,pearson_std,fold_pearsons
3mo,131469,baseline,31,500,0.0,50.0,0.7,0.10417514186222242,0.08778184525698798,"[0.14292296167544527, 0.0992396644380352, -0.03257513577956255, 0.20711307711497176]"
full,525886,strong_reg,15,800,0.0,100.0,0.6,0.10242014058201257,0.0220305684291453,"[0.10426646236687215, 0.095100083546899, 0.13572995992364473, 0.07458405649063435]"
full,525886,medium_reg,31,600,1.0,70.0,0.65,0.09200977830444139,0.01953884236382197,"[0.09488707310367427, 0.08622545841073845, 0.12067636550549694, 0.06625021619785591]"
3mo,131469,strong_reg,15,800,0.0,100.0,0.6,0.0853003152528673,0.036893626442359904,"[0.0957887762891093, 0.02997700204282382, 0.08253044390529789, 0.13290503877423823]"
full,525886,baseline,31,500,0.0,50.0,0.7,0.08408799974399825,0.017276043248417108,"[0.09447525587327098, 0.07208412819307249, 0.1065821546421923, 0.06321046026745726]"
3mo,131469,medium_reg,31,600,1.0,70.0,0.65,0.07845781156082021,0.0677404842635453,"[0.1040840024470335, 0.049308068209186595, -0.011547715548257646, 0.1719868911353184]"
9mo,394407,strong_reg,15,800,0.0,100.0,0.6,0.06329257364035354,0.04807238157706888,"[0.0051095596343897765, 0.1313136368799791, 0.08269734100314578, 0.03404975704389952]"
6mo,262938,baseline,31,500,0.0,50.0,0.7,0.05276039530625083,0.048095788526160525,"[0.09575521233792349, 0.09789544576266501, 0.03593197797665253, -0.018541054852237733]"
9mo,394407,baseline,31,500,0.0,50.0,0.7,0.05102103397956704,0.05636250698532477,"[-0.024951356664277148, 0.11753807290682113, 0.09086214265815344, 0.020635277017570747]"
9mo,394407,medium_reg,31,600,1.0,70.0,0.65,0.05093038953764658,0.06171599964657223,"[-0.00590924822839033, 0.12580949558226395, 0.09774578008793018, -0.013924469291217493]"
6mo,262938,strong_reg,15,800,0.0,100.0,0.6,0.042568801314781364,0.030906107133422553,"[0.06769953140399611, 0.06986324990602856, 0.039486383115443294, -0.006773959166342506]"
6mo,262938,medium_reg,31,600,1.0,70.0,0.65,0.03734396722483814,0.04778293899035683,"[0.07994120271285346, 0.07883221612919997, 0.02740927248643335, -0.03680682242913421]"
