name,left,right,op,target_corr
syn_add_X752_X759,X752,X759,add,0.09806859972297574
syn_add_X614_X752,X614,X752,add,0.09520314379825467
syn_add_X752_X367,X752,X367,add,0.09016735679499768
syn_mul_X777_X752,X777,X752,mul,-0.08349146731216786
syn_add_X766_X752,X766,X752,add,0.08052366840616682
syn_add_X614_X759,X614,X759,add,0.07857474563581664
syn_add_X602_X752,X602,X752,add,0.0733123883023983
syn_add_X759_X367,X759,X367,add,0.07169835267759382
syn_sub_X777_X752,X777,X752,sub,-0.06455270287139152
syn_add_X777_X752,X777,X752,add,0.06337781154240028
syn_mul_X766_X752,X766,X752,mul,0.06299894268085202
syn_add_X614_X367,X614,X367,add,0.06287504077605141
syn_sub_X547_X752,X547,X752,sub,-0.0626649013934072
syn_add_X766_X759,X766,X759,add,0.06250949809574528
syn_sub_X772_X752,X772,X752,sub,-0.06249017613558846
syn_sub_X752_X604,X752,X604,sub,0.06077619384659023
syn_add_X772_X752,X772,X752,add,0.0597653682758617
syn_sub_X602_X752,X602,X752,sub,-0.05347467173979262
syn_add_X766_X614,X766,X614,add,0.05304479134640619
syn_add_X602_X759,X602,X759,add,0.05053579069358707
syn_mul_X766_X759,X766,X759,mul,0.049199485046683845
syn_add_X547_X752,X547,X752,add,0.04899089979203805
syn_sub_X752_X367,X752,X367,sub,0.04898634979479683
syn_mul_X766_X367,X766,X367,mul,0.048972533850909876
syn_sub_X777_X759,X777,X759,sub,-0.046121426710615504
syn_sub_X614_X752,X614,X752,sub,-0.04594827573450221
syn_add_X752_X604,X752,X604,add,0.04575419677423075
syn_sub_X759_X604,X759,X604,sub,0.04448141086527181
syn_sub_X547_X759,X547,X759,sub,-0.04441946952972025
syn_add_X766_X367,X766,X367,add,0.04364841062761086
syn_sub_X772_X759,X772,X759,sub,-0.04356086232517029
syn_sub_X766_X752,X766,X752,sub,-0.043264432456455976
syn_add_X614_X602,X614,X602,add,0.04311085983620957
syn_add_X777_X759,X777,X759,add,0.042602338567494735
syn_mul_X777_X614,X777,X614,mul,-0.04232352869400874
syn_add_X772_X759,X772,X759,add,0.040843236628526604
syn_mul_X766_X614,X766,X614,mul,0.0394113889101291
syn_sub_X602_X759,X602,X759,sub,-0.0363304954469107
syn_mul_X777_X759,X777,X759,mul,-0.035705480057233924
syn_sub_X614_X547,X614,X547,sub,0.03514318698542402
syn_sub_X614_X604,X614,X604,sub,0.03394812613521511
syn_add_X777_X614,X777,X614,add,0.032858630382745634
syn_add_X602_X367,X602,X367,add,0.03262329685391443
syn_add_X547_X759,X547,X759,add,0.032158003571772335
syn_sub_X777_X614,X777,X614,sub,-0.03176681137267994
syn_sub_X772_X614,X772,X614,sub,-0.03175717654591859
syn_add_X766_X602,X766,X602,add,0.030147832172033744
syn_add_X772_X614,X772,X614,add,0.029212431525933127
syn_mul_X772_X752,X772,X752,mul,0.02893485039858598
syn_add_X759_X604,X759,X604,add,0.028802317753376234
syn_mul_X766_X602,X766,X602,mul,0.0285911102089512
syn_mul_X614_X602,X614,X602,mul,-0.027863732662851744
syn_sub_X547_X367,X547,X367,sub,-0.02746802563387048
syn_sub_X367_X604,X367,X604,sub,0.027013380464329807
syn_mul_X602_X367,X602,X367,mul,0.025592945062487264
syn_add_X777_X766,X777,X766,add,0.02524000617627663
syn_sub_X759_X367,X759,X367,sub,0.02518742611851074
syn_mul_X777_X367,X777,X367,mul,-0.024554233419905373
syn_sub_X752_X759,X752,X759,sub,0.02441375435710911
syn_sub_X772_X367,X772,X367,sub,-0.024014515772342444
syn_add_X777_X367,X777,X367,add,0.023974720499782966
syn_sub_X766_X604,X766,X604,sub,0.023847861015848317
syn_sub_X777_X367,X777,X367,sub,-0.023351031707696212
syn_sub_X766_X759,X766,X759,sub,-0.02306328196917863
syn_sub_X766_X547,X766,X547,sub,0.022573687738594018
syn_mul_X547_X367,X547,X367,mul,-0.02157779085826767
syn_sub_X614_X602,X614,X602,sub,0.02111565223826594
syn_add_X772_X367,X772,X367,add,0.02082919977501016
syn_sub_X772_X766,X772,X766,sub,-0.020801553129815555
syn_mul_X602_X547,X602,X547,mul,-0.020626388118829466
syn_mul_X766_X604,X766,X604,mul,-0.020578173402217376
syn_add_X614_X547,X614,X547,add,0.019493351889017362
syn_sub_X614_X759,X614,X759,sub,-0.01887812485752707
syn_add_X614_X604,X614,X604,add,0.017569644442039282
syn_add_X772_X766,X772,X766,add,0.017155371798047367
syn_sub_X777_X766,X777,X766,sub,-0.01665517509887405
syn_mul_X614_X547,X614,X547,mul,-0.015933245395157575
syn_sub_X602_X604,X602,X604,sub,0.015230183346359937
syn_sub_X602_X547,X602,X547,sub,0.014390946628822888
syn_sub_X602_X367,X602,X367,sub,-0.01370781275215202
