model,model_label,group,definition,sample_count,sample_ratio,pearson,rmse,mae,squared_error_contribution,absolute_error_contribution
ridge,Ridge,整体,all validation samples,105177,1.0,0.09190551668094783,1.2275199828689816,0.8685829944204981,1.0,1.0
ridge,Ridge,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.31082117965387324,3.284292336051657,2.9576800547103033,0.35793887100648925,0.17026377655576172
lightgbm,LightGBM,整体,all validation samples,105177,1.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,1.0,1.0
lightgbm,LightGBM,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.26953557680155,3.3679585663128844,3.149083988193071,0.5252484886008325,0.22542969671524857
weighted_lightgbm,Weighted LightGBM,整体,all validation samples,105177,1.0,0.07239295932068679,1.079566257197704,0.7414899560096104,1.0,1.0
weighted_lightgbm,Weighted LightGBM,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.23254096647137612,3.3565166983685857,3.123330846553676,0.4833496541977212,0.21061781815698144
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,整体,all validation samples,105177,1.0,0.06823632005222068,1.0567883811222378,0.7201587677870591,1.0,1.0
continuous_weighted_lightgbm,连续权重 Weighted LightGBM,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.2349078480437784,3.3551734635732475,3.1306346076763094,0.504006675492206,0.21736345122005504
catboost,CatBoost baseline,整体,all validation samples,105177,1.0,0.07939894257823542,1.0394048289751463,0.6980529170152404,1.0,1.0
catboost,CatBoost baseline,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.23533806903764817,3.379480372627994,3.156193737148057,0.528582509295076,0.22607768590459792
xgboost,XGBoost baseline,整体,all validation samples,105177,1.0,0.09959816554513912,1.0378603838984557,0.6970457130475592,1.0,1.0
xgboost,XGBoost baseline,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.2802661285932025,3.3742437071283082,3.152817770702402,0.5285151186805698,0.22616218998255003
tree_blend,Tree Blend,整体,all validation samples,105177,1.0,0.10235862829968688,1.0391435114885461,0.6984824662618114,1.0,1.0
tree_blend,Tree Blend,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.26953557680155,3.3679585663128844,3.149083988193071,0.5252484886008325,0.22542969671524857
two_stage_expert,Two-stage LightGBM Expert,整体,all validation samples,105177,1.0,0.09794744177865619,1.040433583551036,0.6996017441026462,1.0,1.0
two_stage_expert,Two-stage LightGBM Expert,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.22293636533800715,3.366955483578411,3.145742886405095,0.5236346973306788,0.22483024378062735
two_stage_constant_calibration,Two-stage Constant Calibration,整体,all validation samples,105177,1.0,0.10021366125889507,1.0397846994386362,0.6990959704270991,1.0,1.0
two_stage_constant_calibration,Two-stage Constant Calibration,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.23852367976286232,3.3670771736295215,3.146928314487048,0.5243263550743557,0.2250776866508556
two_stage_ridge_expert,Two-stage Ridge Expert,整体,all validation samples,105177,1.0,0.09575857378125292,1.0417921838852437,0.7009304127548067,1.0,1.0
two_stage_ridge_expert,Two-stage Ridge Expert,异常波动,abs(label) > 2.08640890121,5259,0.05000142616731795,0.21543258458644235,3.364696389834353,3.14192864219743,0.521569235071111,0.22413196826254986
